municipio,uf,orgao,cnpj,modalidade,publicado,objeto,emails,telefones,fonte,paginas,pncp,arquivos_note
Nazaré do Piauí,PI,MUNICIPIO DE NAZARE DO PIAUI,06554141000132,Dispensa,2026-09-21,Aquisição de kit natalidade para secretaria de assistência social,licitanazaredopiaui@gmail.com,,Edital_DL_008_2026,24p,https://pncp.gov.br/api/consulta/v1/orgaos/06554141000132/compras/2026/22,200 on attempt 1
Marcos Parente,PI,MUNICIPIO DE MARCOS PARENTE,06554133000196,Dispensa,2026-09-21,Aquisição de kit natalidade para a Secretaria de Assistência Social de Marcos Parente -PI. ,cplmarcosparente2021@gmail.com,(89) 3541-1277,EDITAL_DL_12_2026,21p,https://pncp.gov.br/api/consulta/v1/orgaos/06554133000196/compras/2026/31,200 on attempt 1
Morro do Pilar,MG,MUNICIPIO DE MORRO DO PILAR,18303214000100,Dispensa,2026-09-18,"Contratação de empresa especializada para o fornecimento de Kits Natalidade (enxoval para recém-nascidos), destinados ao atendimento de gestantes em situação de vulnerabilidade soc",,,Aviso_de_Dispensa_Eletronica_Kit_Natalidade.pdf,32p,https://pncp.gov.br/api/consulta/v1/orgaos/18303214000100/compras/2026/49,200 on attempt 1
Novo Brasil,GO,FMAS- FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,18063468000190,Dispensa,2026-09-18,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM FORNECIMENTO DE KIT MATERNIDADE PARA GESTANTES EM CAIXAS DE MDF, VISANDO ATENDER AS NECESSIDADES DO FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL",,,Termo de Dispensa 4745,2p,https://pncp.gov.br/api/consulta/v1/orgaos/18063468000190/compras/2026/26,200 on attempt 1
Leopoldo de Bulhões,GO,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE LEOPOLDO DE BULHOES,18091059000106,Dispensa,2026-09-17,"AQUISIÇÃO DE KITS MATERNIDADE E KITS PARA RECÉM-NASCIDOS, COMPOSTOS POR ITENS ESSENCIAIS DE HIGIENE, VESTUÁRIO, CUIDADOS BÁSICOS E ENXOVAL, DESTINADOS À DISTRIBUIÇÃO GRATUITA ÀS GE",,,Termo de Dispensa 9506,2p,https://pncp.gov.br/api/consulta/v1/orgaos/18091059000106/compras/2026/54,200 on attempt 1
Arceburgo,MG,MUNICIPIO DE ARCEBURGO,17899717000110,Dispensa,2026-09-16,"CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE ITENS DESTINADOS À COMPOSIÇÃO DE KITS DE ENXOVAL PARA BEBÊ, A SEREM DISTRIBUÍDOS ÀS GESTANTES ATENDIDAS PELO PROJETO GESTANTES DO MUNI",licitacao.arceburgo@gmail.com,,AVISO DE DISPENSA PRC_144-2026 - KIT DE ENXOVAL FR,45p,https://pncp.gov.br/api/consulta/v1/orgaos/17899717000110/compras/2026/153,200 on attempt 1
Junco do Maranhão,MA,MUNICIPIO DE JUNCO DO MARANHAO,01612334000189,Dispensa,2026-09-15,"Contratação de empresa especializada para Fornecimento de itens para kits enxoval de recém-nascidos, para distribuição às gestantes em situação de vulnerabilidade social como forma",prefjundomaranhao@hotmail.com,,EDITAL DISPENSA DE PEQUENO VALOR  012-2026 - ENXOVAISa - Copia - Copia,44p,https://pncp.gov.br/api/consulta/v1/orgaos/01612334000189/compras/2026/28,200 on attempt 1
Maracás,BA,MUNICIPIO DE MARACAS,13910203000167,Dispensa,2026-09-15,"Contratação de empresa especializada para o fornecimento de Kit Enxoval de Bebê, destinado ao atendimento de gestantes em situação de vulnerabilidade social, residentes na sede e n",licitacoesmaracas@gmail.com · departamentoadmsocial1@hotmail.com,,Resposta_ao_Pedido_de_Esclarecimento_DL26,1p,https://pncp.gov.br/api/consulta/v1/orgaos/13910203000167/compras/2026/131,200 on attempt 1
Rio Branco do Sul,PR,MUNICIPIO DE RIO BRANCO DO SUL,76105576000185,Dispensa,2026-09-15,"A contratação visa o fornecimento de kit natalidade, com entrega parcelada, conforme a necessidade da Secretaria, durante o período de 12 meses",protecaosocial@riobrancodosul.pr.gov.br · francelise.souza@riobrancodosul.pr.gov.br · smasrbs2019@gmail.com,(41) 98743-2024 · (41) 99650-9949 · (41) 98879-6219,DFD_kit_natalidade.pdf,3p,https://pncp.gov.br/api/consulta/v1/orgaos/76105576000185/compras/2026/163,200 on attempt 1
Saloá,PE,MUNICIPIO DE SALOA,11455714000100,Dispensa,2026-09-10,"AQUISICAO DE KITS DE ENXOVAIS DE RECEM-NASCIDOS PARA DOACAO AS FAMILIAS CARENTES DO MUNICIPIO DE SALOA/PE, NO AMBITO DE PROGRAMA SOCIOASSISTENCIAL DO FMAS",saloalicitacao@gmail.com,(87) 3782-1181 · (87) 99651-0139,1  AVISO DE CONTRATACAO DIRETA,3p,https://pncp.gov.br/api/consulta/v1/orgaos/11455714000100/compras/2026/20,200 on attempt 1
João Lisboa,MA,MUNICIPIO DE JOAO LISBOA,07000300000110,Dispensa,2026-09-09,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE ITENS PARA ENXOVAL PARA DISTRIBUIÇÃO PARA GESTANTES DO MUNICÍPIO DE JOÃO LISBOA - MA,licitacaojoaolisboa@gmail.com,,Aviso de Contratacao Direta,30p,https://pncp.gov.br/api/consulta/v1/orgaos/07000300000110/compras/2026/68,200 on attempt 1
Serra Caiada,RN,MUNICIPIO DE SERRA CAIADA,08078412000156,Dispensa,2026-09-08,Aquisição de itens para enxoval do GRUPO DE GESTANTE DO PAIF referenciado pelo Centro de Referência da Assistência Social do Município de Serra Caiada/RN.,setordelicitacao@serracaiada.rn.gov.br,(84) 3293-0038,AVISO+CONTRATA%c3%87%c3%83O+DIRETA+%2b+EDITAL+e+ANEXOS,47p,https://pncp.gov.br/api/consulta/v1/orgaos/08078412000156/compras/2026/60,200 on attempt 1
Petrolina,PE,MUNICIPIO DE PETROLINA,10358190000177,Dispensa,2026-09-08,[Portal de Compras Públicas] - A contratação de empresa especializada para o fornecimento de Kit Natalidade.,licitacoes@petrolina.pe.gov.br,(87) 3983-6419,AVISO_DE_DISPENSA_ELETR_NICA__N_043-2026.pdf,62p,https://pncp.gov.br/api/consulta/v1/orgaos/10358190000177/compras/2026/316,200 on attempt 1
Nova Roma,GO,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE NOVA ROMA-GO,14901848000104,Dispensa,2026-09-04,"Contratação de empresa para fornecimento de kits de enxoval de bebê e colchões destinados a atender famílias em situação de vulnerabilidade do município, conforme as condições, qua",,,Certidão de Publicação 1604,1p,https://pncp.gov.br/api/consulta/v1/orgaos/14901848000104/compras/2026/8,200 on attempt 1
Pureza,RN,MUNICIPIO DE PUREZA,08290223000142,Dispensa,2026-09-04,"Contratação de empresa para aquisição de kit’s de enxoval para gestantes afim suprir as demandas do município de
Pureza/RN.",,,AUTORIZATIVO+-+Pureza,3p,https://pncp.gov.br/api/consulta/v1/orgaos/08290223000142/compras/2026/123,200 on attempt 1
Lago do Junco,MA,MUNICIPIO DE LAGO DO JUNCO,06460026000107,Dispensa,2026-09-02,"O objeto do presente instrumento é a Contratação de empresa especializada para o fornecimento de itens de Enxoval Maternidade, destinado a atender as demandas da Secretaria de Assi",cplldj2025@gmail.com,,13. EDITAL E ANEXOS.pdf,50p,https://pncp.gov.br/api/consulta/v1/orgaos/06460026000107/compras/2026/27,200 on attempt 1
