service,provider,provider_cnpj,provider_uf,published_price,price_basis,moq,setup_fee,ships_outbound,carriers_named,turnaround_days,payment_terms,url,verified_at,is_inference,notes
kit_assembly,UP! Manuseios (UP ORGANIZACAO E EVENTOS LTDA),43213105000131,SP,,,,,YES,Correios; transportadora (unnamed); carro dedicado,10,,https://www.upmanuseios.com.br/,2026-09-19,FALSE,"Turnaround is a published case, not a promise: 7.500 kits / 667.500 pieces in 10 working days, palletised for ground freight. Receiving, counting, conferência, storage and inbound/outbound reports listed. Whose freight contract: not stated. Price: UNVERIFIED (quote)."
kit_assembly,VIP Manuseios,,SP,,,0,,YES,Correios; transportadora (unnamed); carro dedicado,,,https://www.vipmanuseios.com.br/,2026-09-19,FALSE,"CNPJ not printed anywhere on site (contact/privacy pages 404) - UNVERIFIED. Publishes 'Sem volume mínimo'; 'prazo sempre é calculado após o recebimento de todo o material'; 'conferência por NF, relatório por NF e saldo em tempo real'; client normally supplies box/bag, VIP supplies tape/bubble/labels; 'Para grandes volumes, cotamos junto aos Correios'. Price: UNVERIFIED."
kit_assembly,Mão na Massa Manuseios (MAO NA MASSA PRODUCOES LTDA),26195320000138,SP,,,,,YES,Correios (Sedex/PAC/mala direta); motoboy,,,https://www.maonamassamanuseios.com.br/logistica-promocional,2026-09-19,FALSE,"Correios/motoboy only - no transportadora or pallet service published. Storage and stock control listed. Price: UNVERIFIED."
kit_assembly,Envio Certo Manuseios (ENVIO CERTO PRODUCOES E SERVICOS LTDA),43628686000172,SP,,,,,YES,unnamed ('disparo com rastreio nacional'),,,https://www.enviocertomanuseios.com.br/manuseio-de-kits,2026-09-19,FALSE,"CNAE 8292-0/00 envasamento e empacotamento sob contrato. Publishes receiving, storage, assembly, conferência, packing, dispatch with national tracking. Influencer-kit focus. Price: UNVERIFIED."
kit_assembly_fulfillment,DirectaLog (DIRECTALOG LOGISTICA LTDA),22932742000198,SP,,per service: armazenagem por posição/palete; picking por item; packing por pedido; frete conforme tabela das transportadoras,0,,YES,Correios; Jadlog; Total Express; 'outras',3,,https://www.directalog.com.br/faq,2026-09-19,FALSE,"'Não temos volume mínimo'; 'Sem fidelidade'; 'Integração em 24h'; kits/packs under Manuseio; 'conferência XML vs Físico'; marketplace prep SLA 'até 3 dias úteis'; orders until 11h ship same day; regions list ends 'Todo Brasil'; ANVISA + CETESB. CNAE is road freight (4930-2/02) so it can issue CT-e; whether outbound is on ITS carrier contract is implied by 'frete conforme tabela das transportadoras' but not stated - confirm. Numbers: UNVERIFIED. CNPJ located via directory search then verified at publica.cnpj.ws."
fulfillment_3pl,Teconlog (TECONLOG SOLUCOES LOGISTICAS LTDA),22027337000125,SP,,,,,YES,'parceiros homologados' (unnamed); Correios posto avançado in-house,0,,https://teconlog.com.br/,2026-09-19,FALSE,"'Despachos para todo país, com roteirização e parceiros homologados'; D+0 same-day dispatch; 7.000 m2 / 6.000 pallet positions; conferência on receipt; B2B and B2C; ANVISA AFE. No kit-assembly page but packing/prep listed. Price/MOQ/terms: UNVERIFIED. CNPJ via directory then API."
fulfillment_3pl,DRENG (DRENG SOLUCOES E TECNOLOGIA EM LOGISTICA LTDA),48878504000135,SP,,'tabelas de preços pré-fixadas com descontos progressivos' (table not reachable),,,,,,,https://www.dreng.com.br/,2026-09-19,FALSE,"'Sem exigência de contratos de longo prazo ou cláusulas de fidelidade'; 'Recebemos os produtos do seu fornecedor, realizamos uma conferência detalhada'. Simulator page /simular-mensalidade 404. No carrier statement. Price: UNVERIFIED."
fulfillment_3pl,G+Ship / Guarde Mais (ROGER FULFILLMENT LTDA),46373347000180,SP,,pick & pack per order (JS simulator; scaled by monthly orders; items >3 kg or fragile 'custos adicionais'); storage by litres/m3 of BINs,0,,NO,none - terms 4.10: transport contracted and paid by the client directly,0,"cartão de crédito, boleto bancário, TED, PIX; monthly boleto with NF-e",https://goship.com.br/termos-e-condicoes/,2026-09-19,FALSE,"'não há limite de produtos, nem mínimos exigidos'. Same-day pick/pack if NF issued by 16h. Terms require 48 h inbound notice and one barcode per SKU unit. Explicitly does NOT ship on own contract: 'É responsabilidade exclusiva do CLIENTE a contratação de transporte'. Per-order e-commerce model, not batch kitting. Price: UNVERIFIED."
kit_assembly_carrier,COTLOG (COTLOG SOLUCOES LOGISTICAS LTDA),10273317000155,SP,,,,,YES,own 'transporte rodoviário fracionado' and 'transporte aéreo'; porta a porta,,,https://www.cotlog.com.br/montagem-kits,2026-09-19,FALSE,"Sells kit assembly AND freight as its own service: 'Coletamos no embarcador e entregamos no cliente'. 1.840 pallet positions; ISO 9001; inventory cíclico/rotativo/geral. Northeast coverage not stated. 'a vista' hits on page are SEO keyword text, not terms. Price/MOQ/terms: UNVERIFIED. CNPJ via directory then API."
kit_assembly_carrier,Doma Logística (DOMA LOGISTICA LTDA),27541681000151,SP,,,,,YES,own fleet; fracionado + dedicado + aéreo (24-72h); branches Vitória-ES / Itajaí-SC / Belém-PA,,,https://www.domalogistica.com.br/empresa-montagem-kits,2026-09-19,FALSE,"Only provider with a published North branch (Belém-PA). 'atende desde pequenos até grandes volumes de forma fracionada em qualquer região do Brasil'; 10.000 m2 warehouse with WMS; ANVISA-licensed goods. Northeast not named specifically. Price/MOQ/terms: UNVERIFIED. CNPJ via directory then API."
