carrier,service,origin_cep,dest_city,dest_uf,box_cm,weight_kg,dim_weight_kg,price_brl,days,source_url,measured_at,is_estimate,notes
Correios,PAC,03005-000,Recife,PE,60x40x40,3,16.0,152.60,6,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:03.980218Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 16 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,PAC,03005-000,Recife,PE,60x40x40,16,16.0,152.60,6,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:06.943977Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 16 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,PAC,03005-000,Recife,PE,40x30x30,3,6.0,65.90,6,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:10.093910Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 6 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,PAC,03005-000,Recife,PE,30x25x20,3,2.5,49.70,6,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:13.277440Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 3 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,SEDEX,03005-000,Recife,PE,60x40x40,3,16.0,427.20,1,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:16.601030Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 16 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,SEDEX,03005-000,Recife,PE,60x40x40,16,16.0,427.20,1,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:19.407688Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 16 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,SEDEX,03005-000,Recife,PE,40x30x30,3,6.0,171.70,1,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:22.823165Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 6 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,SEDEX,03005-000,Recife,PE,30x25x20,3,2.5,123.90,1,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:26.086715Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 3 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,PAC,03005-000,Fortaleza,CE,60x40x40,3,16.0,152.60,7,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:29.228089Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 16 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
Correios,PAC,03005-000,Fortaleza,CE,60x40x40,16,16.0,152.60,7,https://www2.correios.com.br/sistemas/precosPrazos/ (form POST to sistemas/precosPrazos/prazos.cfm),2026-09-19T18:34:32.448705Z,FALSE,"MEASUREMENT public calculator, a vista (balcao) price, no contract; days = dias uteis after posting; billed weight 16 kg (rule: max(fisico,cubico) when cubico>5 kg); page says 'preco meramente informativo, confirmar no ato da postagem'"
