bom_line,sku,cost_per_bom_unit,basis,pack_size,listed_price,supplier,supplier_cnpj,supplier_uf,product_ref,url,verified_at,is_inference,spec_risk,notes
mochila,MOCHILA,,unit,1,,,,,"PVC efeito bufalo 42x34x18 cm + 4 elementos de silk (logo projeto 20x7,5; GESP 5x7; Prefeitura 5x7; etiqueta cetim 4x5 com CNPJ do fornecedor)",https://pncp.gov.br/pncp-api/v1/orgaos/46316600000164/compras/2025/447/arquivos/7,2026-09-21,,OUT_OF_SCOPE,"NOT PRICED - excluded from this pass by instruction; handled separately. The old R$52,27 row (CONFECCOES EMILIO, MOCHILA BABY PRINTS #802) is a PLAIN catalogue bag and is NOT a base to add printing to: no printer read on 2026-09-19 publishes personalizacao de material do cliente, and every bag fabricante prints only bags it makes. Named route is BRINDES SP (46033832000105, SP, min 50 un, silk/sublimacao/bordado) which publishes NO price. Buyer estimate 98,51; winner realised 74,30."
banheira_lisa,BANHEIRA,34.67,unit,1,34.67,CONFECCOES EMILIO LTDA,50191584000106,SP,BANHEIRA MAJESTIC - 22 LITROS #0973 CAJOVIL,https://www.emilio.com.br/banheira-majestic---22-litros---0973---cajovil/p,2026-09-21,FALSE,COLOUR;DIMENSIONS;NO_PRINTING,"RE-PRICED AT 22 L, NOT INTERPOLATED. Cheapest 22 L tub readable at any CNPJ-verified SP supplier. Emilio's full 22 L set on 2026-09-21: #0973 R$34,67 (AZUL/ROSA/DOURADO), #0852 translucida R$36,34 (AZUL/ROSA), #0822 R$44,20, #0810 R$44,20 (lists VERDE but 0 in stock), #0714 transparente R$44,20 (BRANCO), #0946 R$49,14. Cross-check COMERCIO DE ROUPAS YANAI 44040459000194 SP: Banheira 22 Litros Transparente Adoleta R$36,34 - a 4,8% spread on the same manufacturer, so R$34,67 is a market price not an outlier. SPEC FAILS ON COLOUR: edital wants transparente com detalhes AMARELO ou VERDE; no 22 L tub in stock anywhere read offers it. Cheapest listing a verde variant is R$44,20 (#0810, verde out of stock). Approx. 26x43x67 cm is NOT published on any 22 L page read - UNVERIFIED. Excludes the vinyl adesivos on three faces and their application. The old R$18,90 was a 20 L tub and does not conform. Buyer estimate 36,91; realised 27,84 -> THIS LINE LOSES R$6,83 before printing."
cobertor_infantil,COBERTOR,26.66,unit,1,26.66,CONFECCOES EMILIO LTDA,50191584000106,SP,"COBERTOR BABY PETIT CANE 90CM X 1,10M #PTCANIN202201 ETRURIA",https://www.emilio.com.br/cobertor-baby-petit-cane-90cm-x-1-10m---ptcanin202201---etruria/p,2026-09-21,FALSE,PELO_ALTO_UNVERIFIED;COLOUR,"RE-PRICED ON SIZE. The old R$12,15 row (CAMESA #1.12600) is 80x110 cm and FAILS the edital minimum of 90 cm x 1,10 m. This is the cheapest 90x110 at Emilio whose page states Composicao: 100% poliester and which is not microfibra (skus.yaml anti-pattern). PELO ALTO IS NOT EVIDENCED: this page says 'toque de seda'; no 90x110 item at Emilio uses the words 'pelo alto'. The only products read anywhere that DO say pelo alto are at Yanai (44040459000194, SP) - Cobertor Pelo Alto Jolitex R$43,99 and Pelo Alto Hazime R$48,29 - and neither publishes dimensions or composition, so they are UNVERIFIED against this spec. Cheaper 90x110 100% poliester options that fail 'pelo alto' harder: COBERTOR BABY MICROFIBRA 90X110 CAMESA R$19,90. Dearer flannel 100% poliester 90x110: CAMESA #1.12596 R$34,67, HAZIME CPMBC R$37,80. Colour azul, not amarelo/verde. Buyer estimate 42,66; realised 32,17."
cueiro,CUEIRO,11.81,per_kit_of_3,3,11.81,CONFECCOES EMILIO LTDA,50191584000106,SP,CUEIRO ESTAMPADO CARICIA 50X80 - 3 UNIDADES #1714 MINASREY,https://www.emilio.com.br/cueiro-estampado-caricia-50x80---3-unidades---1714---minasrey/p,2026-09-21,FALSE,COLOUR,"BASIS CORRECTED, PRICE UNCHANGED AT SOURCE. Edital 01.4 buys a KIT of 03 pecas 50x80 cm, 100% algodao - so the BOM consumes the whole 3-pack, not 1/3 of it. Old table carried R$3,94 = 11,81/3 against a 3-piece requirement: a R$7,87 understatement. Page states 50cm x 80cm, tecido 100% Algodao, kit 3 unidades - all three measurable requirements verified. Colour SORTIDO, not amarelo/verde. Next cheapest conforming: CUEIRO FLANELADO LISO KARINHO 80X50 3 UN #41510 PAPI R$12,87. Buyer estimate 36,62; realised 27,62 - the largest single cushion in the kit."
pagao,PAGAO,17.89,unit_set,1,17.89,CONFECCOES EMILIO LTDA,50191584000106,SP,CONJUNTO PAGAO - 3 PECAS #01.0164 RADANI,https://www.emilio.com.br/conjunto-pagao---3-pecas---01-0164---radani/p,2026-09-21,FALSE,COMPOSITION;SIZE;COLOUR,"RE-PRICED ON COMPONENTS. Edital 01.5 names the three pieces exactly: 01 colete + 01 blusa manga longa + 01 calca com pe. This is the only pagao at Emilio whose page lists those three by name ('Colete com detalhe estampado...; Blusa manga longa com gola...; Calca com pe e elastico no cos'). The old R$15,34 row (#01.0158) says only 'Conjunto Pagao 3 Pecas em Meia Malha e Tecido Estampado' - the components are NOT stated, so it cannot be shown to conform. Page says meia malha but does NOT state 100% algodao; tamanho UNICO, not P; cor SORTIDO, not amarelo/verde. The cheapest Radani pagao that DOES state 'Tecido 100% algodao' is #01.0192 at R$18,91, but it does not list the three pieces. Buyer estimate 26,20; realised 19,76."
fralda_descartavel_rn,FRALDA_DESC,35.69,per_pack,32,35.69,TENDA ATACADO SA,01157555001186,SP,"FRALDA DESCARTAVEL RECEM-NASCIDO TRIPLA PROTECAO P HUGGIES 32 UNIDADES (SKU 000000000000938752-UN, EAN 17896007552440)",https://tendaatacado.com.br/produto/fralda-descartavel-recem-nascido-tripla-protecao-p-huggies-32-unidades,2026-09-21,FALSE,SIZE_LETTER;PRICE_HIGH,"RE-PRICED AT 32+ UNITS. The old R$23,78 row is an 18-unit pack and FAILS 'pacote contendo no minimo 32 unidades'. This is the only >=32-unit RN pack under R$50 found at any CNPJ-verified supplier. Page states dermatologicamente testada; corte anatomico and barreira antivazamento are not stated in these words - UNVERIFIED. SIZE AMBIGUITY: the title carries both 'Recem-Nascido' and 'P'; the edital wants tamanho RN. Other >=32 packs read, both at MENSA/JN FRALDAS 10290457000131 SP: Pampers Primeiros Dias RN C/36 R$51,49 and Huggies Natural Care RN C/34 R$54,06 - both far above the realised price. Buyer estimate 44,83; realised 33,81 -> THIS LINE LOSES R$1,88."
body_manga_longa,BODY,7.84,per_piece_of_3,3,23.53,CONFECCOES EMILIO LTDA,50191584000106,SP,KIT BODY MANGA LONGA CANELADO - 3 UNIDADES - LISO - TAMANHO RN AO G #2000 BABY DUFY (variante TAMANHO P),https://www.emilio.com.br/kit-body-manga-longa-canelado---3-unidades---liso---tamanho-rn-ao-g----2000---baby-dufy/p,2026-09-21,FALSE,COLOUR,"SIZE_GRADED RISK RESOLVED. Edital 01.7 wants ONE body manga longa, tamanho P, 100% algodao. The old R$7,56 row (MAFESSONI #302084) is TAMANHO PREMATURO - not P - so it does not conform. On this SKU the size is a SELECTABLE variant (RN / P / M / G at one price, R$23,53), so buying the P pack yields three size-P bodies and the BOM consumes one: R$7,84. P variants in stock 2026-09-21 (FEMININO 10, MASCULINO 100). Page states Composicao: 100% algodao and manga longa. Colour is liso feminino/masculino, not amarelo/verde. Buyer estimate 18,99; realised 14,32."
kit_enxoval,KIT_ENXOVAL,7.29,unit_kit,1,7.29,CONFECCOES EMILIO LTDA,50191584000106,SP,"KIT COM 3 PECAS - TOUCA LUVA E SAPATO EM MALHA #101 CASTELO (ref 00072066), variantes AMARELO e VERDE",https://www.emilio.com.br/kit-com-3-pecas---touca-luva-e-sapato-em-malha---101---castelo/p,2026-09-21,FALSE,COMPOSITION_TRIM,"THE LAST UNPRICED LINE IS NOW PRICED. Matches edital 01.8 component for component: 01 touca + 01 par de luvas + 01 par de sapatinhos DE MALHA. Page states 'Material 100% algodao' and the variant list carries AMARELO and VERDE - the only kit found that meets the colour constraint. CAVEAT: the same page adds 'Pompom 100% acrilico. Acabamento 96% algodao e 4% elastano', so the TRIM is not 100% algodao; a strict pregoeiro could reject on that. CROSS-CHECKED AT A SECOND CNPJ: COMERCIO DE ROUPAS YANAI 44040459000194 SP lists 'Kit Luva, Touca, Sapatinho Castelo 100% Algodao' at the same R$7,29 (https://yanaiatacado.com.br/products/kit-luva-touca-sapatinho-castelo-100-algodao). Alternatives read: KIT TOUCA-LUVA-SAPATO #080 FOFINHO R$10,90 is 100% ACRILICO (fails); KIT TOUCA-LUVA-SAPATINHO LA #104 CASTELO R$11,76; FIO DE AMOR trico kits R$30,32+. Buyer estimate 15,91; realised 12,00."
pano_de_boca,PANO_BOCA,5.55,per_pack_of_3,3,5.55,CONFECCOES EMILIO LTDA,50191584000106,SP,PANO DE BOCA PINTE & BORDE - 3 UNIDADES #580190 INCOMFRAL,https://www.emilio.com.br/pano-de-boca-pinte---borde---3-unidades---580190---incomfral/p,2026-09-21,FALSE,COLOUR,"BASIS CORRECTED, PRICE UNCHANGED AT SOURCE. Edital 01.9 buys a PACOTE of 03 unidades min 30x40 cm, 100% algodao - the old R$1,85 was 1/3 of the pack, a R$3,70 understatement. Page states Medidas: 34 cm x 40 cm (>= 30x40), Pacote com 3 unidades, Tecido 100% algodao - all three measurable requirements verified. Colour BRANCO, not amarelo/verde. Cheapest 3-pack offering a verde variant: PANO DE BOCA LUXO 3 UN #58057 PIXUXU R$5,64 (URSO SONINHO VERDE, 100% algodao, size not published) or #580886 BUBLIM NINHO 34x40 R$7,00 (POAS VERDE). Buyer estimate 16,35; realised 12,33."
par_de_meias,MEIAS,5.44,per_pair_of_3,3,16.31,CONFECCOES EMILIO LTDA,50191584000106,SP,KIT MEIA ATOALHADA - 3 PARES #T08004-0004 TRI FIL (variante TAMANHO P),https://www.emilio.com.br/kit-meia-atoalhada---3-pares---t08004-0004---tri-fil/p,2026-09-21,FALSE,COLOUR,"RE-PRICED ON COMPOSITION AND WEAVE. Edital 01.10 wants a par de meias ATOALHADA em algodao, poliamida e elastano, tamanho P. The old R$2,01 row (LUQUI #001) is '100% Poliamida' and not atoalhada - it fails both. This page states 'modelo atoalhado' and 'Composicao: 66% Algodao, 31% Poliamida e 3% Elastano' - the exact three fibres the edital names - with TAMANHO P a selectable in-stock variant. Sold as 3 pares for R$16,31; BOM consumes one pair. Colour BRANCO, not amarelo/verde. Alternatives: MEIA BEBE ATOALHADA #65002 RIKAM R$4,99 (atoalhada, baby sizing 13-16 RN / 17-20 PP, composition NOT published); KIT MEIA ZERO 6 PARES RN #1324 DELOS/YOU R$3,35/par (63% algodao, 26% poliamida, 4% elastano - composition fits, but not atoalhada). Buyer estimate 8,29; realised 6,25."
