categoria,fornecedor,razao_social,cnpj,uf,cidade,servico,base_preco,qtd_referencia,preco_brl,taxa_setup_brl,minimo,prazo_dias,fornece_o_produto,url,verificado_em,is_inference,notas
vinil_adesivo,Segunda Via Grafica,UNVERIFIED - nao publica razao social nem CNPJ,,RJ,Teresopolis,Adesivo vinil pequeno formato impresso + recorte eletronico incluso; opcoes brilho/fosco/TRANSPARENTE,m2,menos de 500 unidades,95.00,NENHUMA PUBLICADA,R$25.00 por pedido,3 a 4,SIM - fornece o vinil e imprime,https://www.segundaviagrafica.com.br/produtos/adesivos-em-vinil-pequenos-formatos/,2026-09-21,FALSE,"MELHOR PRECO PUBLICADO DA CATEGORIA e o unico que publica recorte eletronico INCLUSO no preco - exatamente o que o edital exige. Formula de calculo publicada verbatim: '0,07 X 0,10 X 100 X R$95,00 = R$66,50'. Cobra a area do retangulo envolvente de cada adesivo, nao a area da arte. Precos unitarios publicados por tamanho: 3x3cm R$0,09; 5x5cm R$0,24; 10x10cm R$0,95. Durabilidade publicada: 'Nao desbotam, nao rasgam, podem molhar, lavar, ir ao micro-ondas, congelar' - NAO publica os 12 meses exigidos nem adesao a polipropileno. NAO-SP: flag ICMS LC123 art.13 par.1 XIII h."
vinil_adesivo,Segunda Via Grafica,UNVERIFIED - nao publica razao social nem CNPJ,,RJ,Teresopolis,Adesivo vinil pequeno formato impresso + recorte eletronico incluso,m2,500 unidades ou mais,80.00,NENHUMA PUBLICADA,R$25.00 por pedido,3 a 4,SIM - fornece o vinil e imprime,https://www.segundaviagrafica.com.br/produtos/adesivos-em-vinil-pequenos-formatos/,2026-09-21,FALSE,"Faixa publicada verbatim: 'Acima de 500 unidades, R$80,00 o metro quadrado'. O degrau e por UNIDADE de adesivo, nao por m2. A 500 kits sao 1.500 adesivos, ja acima do degrau. Exemplo publicado: 750 adesivos redondos 6x6cm = 0,06 X 0,06 X 750 X R$80,00 = R$216,00. NENHUM degrau publicado acima de 500 un - a 15.000 adesivos o preco continua sendo R$80/m2 pelo que esta publicado."
vinil_adesivo,Uniartes Comunicacao Visual e Grafica,UNIARTES LTDA,54154923000127,SP,Sao Paulo,ADESIVO ETIQUETA CORTE ESPECIAL,m2,qualquer (sem degraus publicados),120.00,NENHUMA PUBLICADA,R$40.00 valor minimo de pedido,7,SIM - fornece o vinil e imprime,https://www.uniartes.com.br/produto/adesivo-transparente-vinil-pvc-0-10mm-brilho-corte-reto-4x0-qualidade-fotografica,2026-09-21,FALSE,"COMPARADOR SP DA LINHA DE RECORTE. Publicado como 'A partir de R$120,00m2' - e um piso, nao um preco fechado. Esta e a linha com corte especial; a linha transparente lisa da mesma empresa sai por R$100,00/m2 mas com corte reto. Nenhum degrau por quantidade publicado. UF confirmada em publica.cnpj.ws: Sao Paulo/SP, Micro Empresa, Ativa."
vinil_adesivo,Uniartes Comunicacao Visual e Grafica,UNIARTES LTDA,54154923000127,SP,Sao Paulo,ADESIVO TRANSPARENTE vinil PVC 0.10mm brilho 4x0 CORTE RETO,m2,qualquer (sem degraus publicados),100.00,NENHUMA PUBLICADA,R$40.00 valor minimo de pedido,7,SIM - fornece o vinil e imprime,https://www.uniartes.com.br/produto/adesivo-transparente-vinil-pvc-0-10mm-brilho-corte-reto-4x0-qualidade-fotografica,2026-09-21,FALSE,"Vinil TRANSPARENTE 4x0 qualidade fotografica - atende impressao digital CMYK alta resolucao do edital. MAS corte reto: NAO atende 'recorte eletronico sem fundo aparente'. Para conformidade usar a linha corte especial R$120/m2. Terceira linha publicada na mesma pagina: ADESIVO INVERTIDO RETROVERSO a partir de R$225,00/m2."
vinil_adesivo,Revenda Infinity (Infinity Visual Place),INFINITY VISUAL SOLUCOES E SERVICOS LTDA,22236906000142,SP,Sao Paulo,Adesivo impresso transparente vinil brilho - acabamento 'Refilado no Tamanho',m2,qualquer (sem degraus publicados),30.90,NENHUMA PUBLICADA,R$15.00,1 a 2,SIM - fornece o vinil e imprime,https://www.revendainfinity.com.br/produto/adesivo-impresso-transparente-vinil,2026-09-21,FALSE,"PRECO MAIS BAIXO ENCONTRADO E O MAIS RAPIDO (producao 1 dia util) MAS NAO ATENDE A ESPECIFICACAO COMO PUBLICADO: acabamento publicado e 'Refilado no Tamanho' (corte reto), sem opcao de recorte eletronico na pagina. Laminacao e opcional publicada (sem preco separado); criacao de arte +R$25,00. Nao usar como preco da linha sem confirmar recorte. UF confirmada: Sao Paulo/SP, Micro Empresa, Ativa."
vinil_adesivo,Grafica JN / Revenda JN,JN IMPRESSOS GRAFICOS LTDA,07713072000125,SP,Sao Paulo,Adesivo vinil transparente,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.revendajn.com.br/produto/adesivo-transparente,2026-09-21,FALSE,"BLOQUEADO - PAYWALL DE LOGIN. Pagina diz verbatim: 'Voce precisa estar logado ou faca um cadastro para visualizar os precos'. Nao houve cadastro. UF confirmada em publica.cnpj.ws: Sao Paulo/SP, Micro Empresa. Guardar como alvo de cotacao da fundadora - e SP e e revenda (preco de atacado grafico)."
vinil_adesivo,Grafica Paulista Cartoes,CONFORMATICA ACABAMENTOS GRAFICOS LTDA,12019274000101,MG,Uberaba,Adesivo vinil transparente com Meio Corte/Corte Especial,UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://www.paulistacartoes.com.br/adesivo-vinil-transparente/1724/1728,2026-09-21,FALSE,"BLOQUEADO - TABELA DE PRECOS CARREGADA POR JAVASCRIPT ('Buscando dados' no HTML estatico). ARMADILHA DE UF: chama-se 'Paulista', anuncia 'Adesivo de Vinil - Sao Paulo' e usa telefone (11), mas o CNPJ resolve em publica.cnpj.ws para UBERABA/MG. A alegacao de Sao Paulo do proprio site nao se sustentou. Oferece 'Meio Corte/Corte Especial' e 'Faca Padrao' - tecnicamente compativel, preco nao lido."
vinil_adesivo,Graphic Store,UNVERIFIED - CNPJ nao publicado na pagina,,RS,Porto Alegre,Adesivo em recorte eletronico (vinil - recorte incluso no produto),UNVERIFIED,UNVERIFIED,,UNVERIFIED,UNVERIFIED,UNVERIFIED,SIM,https://graphicstore.com.br/adesivos-adesivo-em-recorte-eletronico-,2026-09-21,FALSE,"BLOQUEADO - precos em variaveis de template nao renderizadas ({{produtoPreco.preco_venda}}). Publica politica relevante verbatim: 'Praticamos precos baixos e trabalhamos por demanda. Por isso, nao fazemos orcamentos especiais' - ou seja, sem negociacao por volume. Recorte eletronico consta como incluso no produto. NAO-SP."
vinil_adesivo,DERIVADO - custo do vinil por kit,CALCULO SOBRE PRECOS PUBLICADOS,,,,Impressao dos 3 adesivos da banheira (SEM aplicacao),m2 x area do edital,100 kits = 300 adesivos = 2.32 m2,2.20,NENHUMA PUBLICADA,,3 a 4,,https://www.segundaviagrafica.com.br/produtos/adesivos-em-vinil-pequenos-formatos/,2026-09-21,TRUE,"DERIVADO. Area por banheira tirada LITERALMENTE do edital Itaqua p.e. 90088/2025: adesivo Programa Mae Itaqua 14x8cm (cabeceira interna) = 0,0112 m2 + adesivo Prefeitura 15x4cm nas laterais esquerda E direita = 2 x 0,0060 m2. Total 0,0232 m2/kit. A 100 kits sao 300 adesivos, abaixo do degrau de 500 un, logo R$95/m2: 0,0232 x 95 = R$2,20/kit. SO IMPRESSAO - aplicacao nao incluida e nao precificada por ninguem."
vinil_adesivo,DERIVADO - custo do vinil por kit,CALCULO SOBRE PRECOS PUBLICADOS,,,,Impressao dos 3 adesivos da banheira (SEM aplicacao),m2 x area do edital,500 kits = 1.500 adesivos = 11.6 m2,1.86,NENHUMA PUBLICADA,,3 a 4,,https://www.segundaviagrafica.com.br/produtos/adesivos-em-vinil-pequenos-formatos/,2026-09-21,TRUE,"DERIVADO. 0,0232 m2/kit x R$80/m2 (degrau publicado acima de 500 unidades de adesivo) = R$1,86/kit. SO IMPRESSAO."
