dimensao,item,valor,unidade,ano,fonte_url,lido_em,is_calculo,notas
tamanho,Municipios no Brasil (registros na API IBGE localidades),5571,municipios,2026,https://servicodados.ibge.gov.br/api/v1/localidades/municipios,2026-09-21,TRUE,len() da resposta da API; a contagem convencional e 5.570 municipios + DF
tamanho,Municipios distintos com >=1 edital de kit no PNCP 2022-2026,1124,municipios,2022-2026,"https://pncp.gov.br/api/search/ (7 consultas, ver data/market/tenders.json)",2026-09-21,TRUE,"Sample R: snapshot de 1.982 linhas em 2026-09-21, filtrado por regex para 1.750 editais genuinos; PISO - cada consulta do PNCP e limitada a 600 linhas"
tamanho,Participacao desses municipios no total do pais,20.2,%,2022-2026,"https://pncp.gov.br/api/search/ (7 consultas, ver data/market/tenders.json)",2026-09-21,TRUE,"CALCULO 1124/5571=20,17%"
tamanho,Editais de kit genuinos no Sample R,1750,editais,2022-2026,"https://pncp.gov.br/api/search/ (7 consultas, ver data/market/tenders.json)",2026-09-21,TRUE,de 1.982 linhas brutas apos regex POS/NEG
tamanho,Municipios distintos com edital de kit em janela de 12 meses (1 consulta),372,municipios,2025-10 a 2026-09,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval&pagina=1&tam_pagina=50&ordenacao=-data,2026-09-21,TRUE,"Window W, consulta ""kit enxoval"" apenas; PISO"
tamanho,Editais de kit publicados na janela de 12 meses (1 consulta),442,editais,2025-10 a 2026-09,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval&pagina=1&tam_pagina=50&ordenacao=-data,2026-09-21,TRUE,Window W completa: publicados >= 2025-10-01
tamanho,Municipios que compraram mais de uma vez (Sample R),432,municipios,2022-2026,"https://pncp.gov.br/api/search/ (7 consultas, ver data/market/tenders.json)",2026-09-21,TRUE,"CALCULO 305+84+29+14; 38,4% dos 1.124"
tamanho,"Orgaos compradores cujo nome contem ""FUNDO"" (Sample R)",311,editais,2022-2026,"https://pncp.gov.br/api/search/ (7 consultas, ver data/market/tenders.json)",2026-09-21,TRUE,"CALCULO 311/1750 = 17,8%"
tamanho,"PNCP total de editais para a consulta ""kit natalidade""",2776,editais,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+natalidade&pagina=1&tam_pagina=1,2026-09-21,FALSE,campo total da API; inclui falsos positivos do full-text
tamanho,"PNCP total de editais para a consulta ""kit maternidade""",1605,editais,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+maternidade,2026-09-21,FALSE,idem
tamanho,"PNCP total de editais para a consulta ""kit gestante""",1468,editais,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+gestante,2026-09-21,FALSE,idem
tamanho,"PNCP total de editais para a consulta ""kit enxoval""",1321,editais,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=edital&q=kit+enxoval,2026-09-21,FALSE,idem
tamanho,"PNCP total de editais para a consulta ""enxoval bebe""",1229,editais,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=edital&q=enxoval+bebe,2026-09-21,FALSE,idem
tamanho,"PNCP total de editais para a consulta ""enxoval recem nascido""",775,editais,2022-2026,https://pncp.gov.br/api/search/?tipos_documento=edital&q=enxoval+recem+nascido,2026-09-21,FALSE,idem
nascimentos,"Nascidos vivos ocorridos no ano, Brasil",2806483,nascidos vivos,2019,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0",2026-09-21,FALSE,"IBGE Estatisticas do Registro Civil, tabela 2612, variavel 218"
nascimentos,"Nascidos vivos ocorridos no ano, Brasil",2673913,nascidos vivos,2020,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0",2026-09-21,FALSE,"IBGE Estatisticas do Registro Civil, tabela 2612, variavel 218"
nascimentos,"Nascidos vivos ocorridos no ano, Brasil",2630703,nascidos vivos,2021,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0",2026-09-21,FALSE,"IBGE Estatisticas do Registro Civil, tabela 2612, variavel 218"
nascimentos,"Nascidos vivos ocorridos no ano, Brasil",2537078,nascidos vivos,2022,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0",2026-09-21,FALSE,"IBGE Estatisticas do Registro Civil, tabela 2612, variavel 218"
nascimentos,"Nascidos vivos ocorridos no ano, Brasil",2518039,nascidos vivos,2023,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0",2026-09-21,FALSE,"IBGE Estatisticas do Registro Civil, tabela 2612, variavel 218"
nascimentos,"Nascidos vivos ocorridos no ano, Brasil",2370945,nascidos vivos,2024,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0",2026-09-21,FALSE,"IBGE Estatisticas do Registro Civil, tabela 2612, variavel 218"
nascimentos,Queda dos nascimentos 2019->2024,-15.52,%,2019-2024,"https://apisidra.ibge.gov.br/values/t/2612/n1/all/v/218/p/2019,2020,2021,2022,2023,2024/c2/0",2026-09-21,TRUE,CALCULO 2370945/2806483-1
renda,Populacao com rendimento domiciliar per capita ate 1/4 SM,21081892,pessoas,2022,"https://apisidra.ibge.gov.br/values/t/10296/n1/all/v/13604,1013604/p/2022/c2/6794/c86/95251/c386/all",2026-09-21,FALSE,"Censo 2022, tabela 10296"
