municipio,uf,cnpj_orgao,orgao_nome,populacao,setor,contato_tipo,contato_valor,fonte_url,verificado_em,is_inference,notas
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Divisao de Compras e Licitacoes,email,licitacao@alvoradademinas.mg.gov.br,https://www.alvoradademinas.mg.gov.br/artigos/2026/08/000000556/documentos/Edital_De_Pregao_Eletronico-@-6a722c70eafce.pdf,2026-09-19,false,"Clausula 5.4 do edital do PE 0027/2026 (processo 0075/2026), publicado no dominio da prefeitura. Mesmo setor que conduz o PE 0034/2026 dos enxovais."
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Divisao de Compras e Licitacoes,email,alvoradademinas@gmail.com,https://www.alvoradademinas.mg.gov.br/artigos/2026/08/000000556/documentos/Edital_De_Pregao_Eletronico-@-6a722c70eafce.pdf,2026-09-19,false,Segundo endereco publicado na mesma clausula 5.4 do edital.
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Divisao de Compras e Licitacoes,telefone,(31) 3520-0001,https://www.alvoradademinas.mg.gov.br/artigos/2026/08/000000556/documentos/Edital_De_Pregao_Eletronico-@-6a722c70eafce.pdf,2026-09-19,false,Clausula 5.4 do edital. Conflita com o (31) 3862-1209 do site institucional; ambos estao publicados.
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Divisao de Compras e Licitacoes,telefone,(31) 3520-0000,https://www.alvoradademinas.mg.gov.br/artigos/2026/08/000000556/documentos/Edital_De_Pregao_Eletronico-@-6a722c70eafce.pdf,2026-09-19,false,Clausula 5.4 do edital.
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Divisao de Compras e Licitacoes,endereco,"Av. Jose Madureira Horta, n 190, Centro, Alvorada de Minas/MG, CEP 39140-000",https://www.alvoradademinas.mg.gov.br/artigos/2026/08/000000556/documentos/Edital_De_Pregao_Eletronico-@-6a722c70eafce.pdf,2026-09-19,false,"Atendimento ao publico de segunda a sexta, 08h00-15h00, conforme o edital."
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Secretaria Municipal de Saude,email,saude@alvoradademinas.mg.gov.br,https://www.alvoradademinas.mg.gov.br/artigos/2026/08/000000556/documentos/Edital_De_Pregao_Eletronico-@-6a722c70eafce.pdf,2026-09-19,false,SECRETARIA COMPRADORA deste certame: o objeto e enxovais para unidades de saude e casa de apoio vinculadas a Secretaria Municipal de Saude. E-mail publicado como contato da gestora do contrato.
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Secretaria Municipal de Saude,pessoa,Maria Aparecida Barbosa Ribeiro - Secretaria Municipal de Saude (matricula 3254),https://www.alvoradademinas.mg.gov.br/artigos/2026/08/000000556/documentos/Edital_De_Pregao_Eletronico-@-6a722c70eafce.pdf,2026-09-19,false,"Nomeada gestora de contrato no edital, em capacidade oficial."
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Secretaria Municipal de Assistencia Social,email,gabinete@alvoradademinas.mg.gov.br,https://alvoradademinas.mg.gov.br/secretaria/2025/04/012/secretaria-municipal-de-assistencia-social/,2026-09-19,false,Unico contato publicado na propria pagina da secretaria; e o contato central do gabinete. NAO e a secretaria compradora deste certame.
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Secretaria Municipal de Assistencia Social,telefone,(31) 3862-1209,https://alvoradademinas.mg.gov.br/secretaria/2025/04/012/secretaria-municipal-de-assistencia-social/,2026-09-19,false,Publicado na pagina da secretaria. Expediente 07h00-17h00.
Alvorada de Minas,MG,18303164000153,"MUNICIPIO DE ALVORADA DE MINAS (Unidade Unica - prefeitura, nao e fundo)",4159,Secretaria Municipal de Assistencia Social,endereco,"Av. Jose Madureira Horta, n 190, Centro, Alvorada de Minas/MG",https://alvoradademinas.mg.gov.br/secretaria/2025/04/012/secretaria-municipal-de-assistencia-social/,2026-09-19,false,Mesmo endereco da sede da prefeitura.
