modalidade,municipio,uf,publicado,dias,dias_uteis,contado_de,verbatim,fonte,arquivos,pncp
Dispensa,Nazaré do Piauí,PI,2026-09-21,30,False,ATESTO,"e Finanças do Município de Nazaré do Piauí-PI: Projeto/Atividade: 08.244.0173.2085; 04.122.0027.2.003, Elemento de Despesa: 33.90.30; Fonte de Recursos: 500, 600. CLÁUSULA QUINTA – DO PAGAMENTO 5.1 O pagamento será realizado pela Secretaria Municipal de Finanças de Nazaré do Piauí-PI, através do set",Aviso de Contratação Direta 24p,200 on attempt 1,06554141000132-1-000022/2026
Dispensa,Marcos Parente,PI,2026-09-21,30,False,NOTA FISCAL,"ENTAR Nº 123/2006, NO PRESENTE CERTAME, CONSIDERANDO QUE O OBJETO DA CONTRATAÇÃO É INFERIOR A R$ 80.000,00 (OITENTA MIL REAIS), ESTA LICITAÇÃO SERÁ DESTINADA À PARTICIPAÇÃO EXCLUSIVA DE ME/EPP. 6.1 O pagamento será realizado na Secretaria Municipal de Finanças, em até 30 dias após a solicitação de p",Aviso de Contratação Direta 21p,200 on attempt 1,06554133000196-1-000031/2026
Dispensa,Morro do Pilar,MG,2026-09-18,15,False,NOTA FISCAL,"cações solicitadas. b) Definitivo: após a conclusão da conferência e análise necessárias e sua consequente aceitação definitiva, que ocorrerá no prazo máximo de 15 (quinze) dias. 5. PAGAMENTO 5.1. Os pagamentos serão feitos por meio de transferência, depósito bancário ou em cheque nominal à empresa ",Aviso de Contratação Direta 32p,200 on attempt 1,18303214000100-1-000049/2026
Dispensa,Novo Brasil,GO,2026-09-18,,,,,Ato que autoriza a Contratação Direta 2p,200 on attempt 1,18063468000190-1-000026/2026
Dispensa,Leopoldo de Bulhões,GO,2026-09-17,,,,,Ato que autoriza a Contratação Direta 2p,200 on attempt 1,18091059000106-1-000054/2026
Dispensa,Arceburgo,MG,2026-09-16,30,False,ATESTO,"não poderão exceder os valores unitários, constantes neste Aviso de Dispensa de Licitação. Devendo obedecer ao valor estipulado pela Diretoria de Saúde e Vigilância Sanitária. 7. DO PAGAMENTO: 7.1. O pagamento ocorrerá em até 30 (trinta) dias após a efetiva entrega dos materiais e também mediante ap",Aviso de Contratação Direta 45p,200 on attempt 1,17899717000110-1-000153/2026
Dispensa,Junco do Maranhão,MA,2026-09-15,30,False,NOTA FISCAL,"prazo e demais condições de entrega, recebimento e aceitação do objeto da presente dispensa de licitação, estão previstos na Requisição, Anexo I do Presente AVISO. 10. CONDIÇÕES DE PAGAMENTO 10.1. Os pagamentos serão realizados em até 30 (trinta) dias, mediante apresentação da nota fiscal / recibo e",Edital 44p,200 on attempt 1,01612334000189-1-000028/2026
Dispensa,Maracás,BA,2026-09-15,15,False,ATESTO,"ncia e conta corrente indicados pelo contratado; 11.2.2 - Será considerada data do pagamento o dia em que constar como emitida a ordem bancária para pagamento. 11.3 – DO PRAZO DE PAGAMENTO 11.3.1 - O pagamento será efetuado no prazo máximo de até 15 (quinze) dias úteis, contados do recebimento defin",Aviso de Contratação Direta 37p,200 on attempt 1,13910203000167-1-000131/2026
Dispensa,Rio Branco do Sul,PR,2026-09-15,,,,,Documento de Formalização da Demanda - DFD 3p,200 on attempt 1,76105576000185-1-000163/2026
Dispensa,Saloá,PE,2026-09-10,,,,,Aviso de Contratação Direta 3p,200 on attempt 1,11455714000100-1-000020/2026
Dispensa,João Lisboa,MA,2026-09-09,,,,,Aviso de Contratação Direta 30p,200 on attempt 1,07000300000110-1-000068/2026
Dispensa,Serra Caiada,RN,2026-09-08,10,False,LIQUIDACAO,"a execução do objeto, os pagamentos serão realizados normalmente, até que se decida pela rescisão do contrato, caso o contratado não regularize sua situação junto ao SICAF. Prazo de pagamento 7.17. O pagamento será efetuado no prazo de até 10 (dez) dias úteis contados da finalização da liquidação da",Edital 47p,200 on attempt 1,08078412000156-1-000060/2026
Dispensa,Petrolina,PE,2026-09-08,5,False,ATESTO,"5 - Garantia, Manutenção e Assistência Técnica 9.5.1 - O prazo de garantia é aquele estabelecido na Lei nº 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor). 10.0 - PAGAMENTO 10.1 - O pagamento será efetuado em até 25 (vinte e cinco) dias, contados da liquidação da despesa, que ocorr",Edital 62p,200 on attempt 1,10358190000177-1-000316/2026
Dispensa,Nova Roma,GO,2026-09-04,30,False,NOTA FISCAL,"io de ordem de fornecimento, de origem do departamento de compras, que será encaminhada para a contratada por meio de correio eletrônico, devidamente designado pela mesma no ato da contratação 4.6 Do Pagamento: O pagamento ocorrerá em até 30 dias, após emissão de nota fiscal, a ser emitida, ou encam",Termo de Referência 11p,200 on attempt 1,14901848000104-1-000008/2026
Dispensa,Pureza,RN,2026-09-04,,,,,Ato que autoriza a Contratação Direta 3p,200 on attempt 1,08290223000142-1-000123/2026
Dispensa,Lago do Junco,MA,2026-09-02,30,False,NOTA FISCAL,"o período de 12 (doze) meses. 6. FORMA DE CONTRATAÇÃO 8.1 A Contratação será realizada por meio de Contratação Direta, conforme previsto no artigo 72 da Lei nº 14.133/21. 7. FORMA DE PAGAMENTO: 7.1 O pagamento será efetuado no prazo de até 30 (trinta) dias, após a assinatura do Termo de Recebimento ",Edital 50p,200 on attempt 1,06460026000107-1-000027/2026
Dispensa,São Patrício,GO,2026-09-02,30,False,ATESTO,"ontratação consignadas neste Edital, as quais deverão ser mantidas pelo fornecedor/prestador durante toda a vigência da contratação, nos termos da Lei Federal nº 14.133/2021. 8 – DO PAGAMENTO 8.1. Os pagamentos serão efetuados no prazo de até 30 (trinta) dias, contados a partir da apresentação da no",Aviso de Contratação Direta 29p,200 on attempt 1,17498179000151-1-000018/2026
Dispensa,Cezarina,GO,2026-09-02,,,,,Documento de Formalização da Demanda - DFD 1p,200 on attempt 1,13358623000182-1-000011/2026
Dispensa,Bom Princípio do Piauí,PI,2026-08-31,30,False,ATESTO,"o ser entregues no Município de Bom Princípio do Piauí – PI, em local indicado na Ordem de Fornecimento, no prazo máximo de 10 dias úteis contado do recebimento da solicitação. 5. DO PAGAMENTO 5.1. O pagamento será realizado pelo Município em até 30 (trinta) dias, contados do recebimento definitivo ",Edital 20p,200 on attempt 1,41522194000172-1-000030/2026
Dispensa,Ilha das Flores,SE,2026-08-27,,,,,Aviso de Contratação Direta text,200 on attempt 1,13111224000112-1-000026/2026
Dispensa,Belo Horizonte,MG,2026-08-26,,,,,Aviso de Contratação Direta 94p,200 on attempt 1,10393006000120-1-000007/2026
Dispensa,Maurilândia,GO,2026-08-26,,,,,Aviso de Contratação Direta 1p,200 on attempt 1,18319753000120-1-000037/2026
Dispensa,Jeremoabo,BA,2026-08-26,,,,,Aviso de Contratação Direta text,200 on attempt 1,13809041000175-1-000104/2026
Dispensa,Bom Princípio do Piauí,PI,2026-08-25,30,False,ATESTO,"o ser entregues no Município de Bom Princípio do Piauí – PI, em local indicado na Ordem de Fornecimento, no prazo máximo de 10 dias úteis contado do recebimento da solicitação. 5. DO PAGAMENTO 5.1. O pagamento será realizado pelo Município em até 30 (trinta) dias, contados do recebimento definitivo ",Edital 20p,200 on attempt 1,41522194000172-1-000029/2026
Dispensa,Japaraíba,MG,2026-08-24,,,,,Aviso de Contratação Direta text,200 on attempt 1,18306654000103-1-000126/2026
Dispensa,Auriflama,SP,2026-08-21,,,,,Outros Documentos 15p,200 on attempt 1,45660594000103-1-000077/2026
Dispensa,Várzea,RN,2026-08-19,,,,,Ato que autoriza a Contratação Direta 3p,200 on attempt 1,08168940000104-1-000081/2026
Dispensa,Bom Princípio do Piauí,PI,2026-08-17,30,False,ATESTO,"o ser entregues no Município de Bom Princípio do Piauí – PI, em local indicado na Ordem de Fornecimento, no prazo máximo de 10 dias úteis contado do recebimento da solicitação. 5. DO PAGAMENTO 5.1. O pagamento será realizado pelo Município em até 30 (trinta) dias, contados do recebimento definitivo ",Edital 20p,200 on attempt 1,41522194000172-1-000028/2026
Dispensa,Jundiá,RN,2026-08-14,30,False,ATESTO,secução dos objetivos que tenham justificado a contratação e eventuais condutas a serem adotadas para o aprimoramento das atividades da Administração. 7. DO CRITÉRIOS DE MEDIÇÃO E DE PAGAMENTO 7.1. O pagamento de cada fatura deverá ser realizada em um prazo não superior a 30 (trinta) dias contados a,Aviso de Contratação Direta 25p,200 on attempt 1,04214217000155-1-000078/2026
