category,trading_name,razao_social,cnpj,uf,city,cnae,porte,url,prices_public,pedido_minimo,payment_terms,revenda_tier,bom_lines_covered,example_product_url,example_price_brl,verified_at,is_inference,notes
layette_textiles,Paulimar Atacadista,PAULIMAR CONFECCOES LTDA,60656782000143,SP,Sao Paulo (Pari/Bras),4642701 Comercio atacadista de artigos do vestuario e acessorios,Demais,https://www.paulimar.com.br/enxoval,YES,NONE PUBLISHED,PIX 5% desconto; cartao ate 6x sem juros acima de R$600; retirada em loja,Atacadista model; no separate revenda login tier published,body_manga_longa;pagao;cueiro;pano_de_boca;par_de_meias;toalha_banho_infantil;cobertor_infantil;mochila,https://www.paulimar.com.br/kit-pano-de-boca-soft-20x40cm-com-2-unidades-minas-rey--5236.292826.html,13.75,2026-09-19,FALSE,"STRONGEST NEW LAYETTE CANDIDATE. Public prices, no login. Carries the SAME Minasrey manufacturer refs Emilio uses. BUT DEARER THAN EMILIO on every comparable: toalha fralda 3un R$18.38/19.34 vs Emilio R$10.26; pano de boca 2un R$13.75 vs Emilio 3un R$5.55. Footer read verbatim: 'Paulimar Confeccoes Ltda. - CNPJ: 60.656.782/0001-43 - Rua Silva Teles, 292 Pari - Bras, Sao Paulo - SP'. Also carries the bag line (Kit Sacola e Frasqueira Urso Mave Baby R$49,90). Banheira and kit higiene NOT carried."
layette_textiles,Yora Atacado,BW MODAS LTDA.,00213833000726,SP,"Sao Paulo (Rua Joao Boemer, Pari/Bras)",4642701 Comercio atacadista de artigos do vestuario e acessorios,Empresa de Pequeno Porte,https://www.yoraatacado.com.br/bebe/enxoval,NO - login-gated ('Cadastre-se para ver precos'),R$450 online / R$800 loja fisica,"Cartao ate 5x sem juros, parcela minima R$150; 5% desconto no PIX/deposito/transferencia",YES - explicit atacado/revendedora tier + portal de dicas para revendedoras,body_manga_longa;pagao;cueiro;pano_de_boca;toalha_banho_infantil;cobertor_infantil;par_de_meias,,UNVERIFIED - login wall,2026-09-19,FALSE,"Second Brascol-shaped risk: same login wall, so no price benchmark without registering. Carries Incomfral/Minasrey/Papi (per its own site) - the same manufacturers as Emilio. CNPJ on the site footer is a FILIAL (0007-26); cnpj.ws confirms the filial itself is in Sao Paulo/SP, fantasia BLUE WHITE, so the UF holds for this establishment. Pedido minimo R$450 is the lowest published minimum found in this whole sweep."
layette_textiles,Mafessoni Baby & Kids,CONFECCOES MAFESSONI LTDA.,96222781000138,SP,Mairipora,1412601 Confeccao de pecas do vestuario,Demais,http://www.mafessoni.com.br/,NO - prices require login / separate atacado channel,NONE PUBLISHED,NONE PUBLISHED,YES - 'COMPRE NO ATACADO' channel distinct from 'LOJA VIRTUAL',body_manga_longa;pagao,,UNVERIFIED - login wall,2026-09-19,FALSE,"THIS IS THE MAKER OF THE BODY EMILIO SELLS. cost_table body_manga_longa cites 'KIT BODY MANGA LONGA 3 UNIDADES TAMANHO PREMATURO #302084 MAFESSONI' at R$7.56/pc via Emilio. Buying factory-direct removes one margin layer on the largest textile line. Footer read verbatim: 'Confeccoes Mafessoni LTDA | CNPJ 96.222.781/0001-38 | Rua Joao Antonio Brilha, 172 - Mairipora - SP'. Categories seen: pijamas, conjuntos, banho, camisetas - a full enxoval range was NOT confirmed on the page read."
layette_textiles,Era Uma Vez,ROUPAS DE BEBE E ENXOVAIS LTDA,38479807000121,SP,Sao Paulo,4781400 Comercio varejista de artigos do vestuario e acessorios,Empresa de Pequeno Porte,https://www.lojaeraumavez.com.br/roupas-de-bebe-atacado,YES,NONE PUBLISHED (atacado terms page has no stated minimum),PIX 5% desconto; parcelamento no cartao,Has an 'atacado' section (1.656 produtos) but publishes no tier rules or minimum,body_manga_longa;pagao;cobertor_infantil;cueiro;par_de_meias,https://www.lojaeraumavez.com.br/body-manga-longa-em-suedine-para-bebe-jungle-amarelo.html,14.90,2026-09-19,FALSE,"PRICE BAND IS RETAIL, NOT WHOLESALE: body manga longa RN R$14,90 vs Emilio R$7,56/pc - about 2x. Cobertor R$129,90 vs Emilio R$12,15 - 10x. CNAE is varejista (4781400), consistent with that. Useful only as a ceiling/benchmark and as a spec reference, not as a competitive second source."
layette_textiles,Markha Baby,MARKHA ENXOVAIS E PRESENTES PARA BEBE LTDA.,03383226000107,SP,Sao Paulo,1412601 Confeccao de pecas do vestuario,Micro Empresa,https://www.markhababy.com.br/,UNVERIFIED - no product prices rendered on the page read,UNVERIFIED,UNVERIFIED,UNVERIFIED,body_manga_longa;cobertor_infantil,,UNVERIFIED,2026-09-19,FALSE,"Confeccao propria (CNAE 1412601), micro empresa - the size profile that can take a small first order. CNPJ and razao social were read out of the page's own embedded store JSON ('Cnpj': '03.383.226/0001-07', 'RazaoSocial': 'Markha Enxovais e Presentes Bebe Ltda'). Category labels for body and cobertor are present in the HTML but NO price rendered to the fetcher - treat commercial terms as unknown."
layette_textiles,Paravati Atacado,PARAVATI CONFECCAO E DISTRIBUIDORA DE ROUPAS LTDA,40826972000154,SP,"Sao Paulo (Rua Dr. Virgilio do Nascimento 141, Bras)",4642701 Comercio atacadista de artigos do vestuario e acessorios,Empresa de Pequeno Porte,https://paravatiatacado.com.br/,NO - catalogue behind an external login link,NONE PUBLISHED,NONE PUBLISHED,YES - atacado only,UNVERIFIED - no enxoval category confirmed,,UNVERIFIED - login wall,2026-09-19,FALSE,"WEAK CANDIDATE, recorded only because the CNPJ and SP address are published and verified. The site names no layette categories - 'bebes, criancas e jovens' generically - and puts the whole catalogue behind an external link. Do not count this as a second source for any BOM line until the catalogue is actually seen."
layette_textiles,Dugu Atacadista,VOIGTEX TOALHAS E VARIEDADES LTDA,44073063000143,SC,Joinville,"4755503 Comercio varejista de artigos de cama, mesa e banho",Micro Empresa,https://www.duguatacadista.com.br/pagina/quem-somos.html,YES,NONE PUBLISHED,Parcelado em ate 3x sem juros,Sells itself as atacadista; no separate tier published,cueiro;pano_de_boca;toalha_banho_infantil;kit_enxoval,https://www.duguatacadista.com.br/kit-enxoval-para-bebe-recem-nascido-10-pecas-maternidade-barato-5-fraldas-de-pano-3-panos-de-boca-2-jg-lencol,UNVERIFIED - page not read (site 403s to direct fetch; only quem-somos rendered),2026-09-19,FALSE,"NON-SP: SC/Joinville, so LC 123 art.13 par.1 XIII (h) applies - it must beat an SP supplier by more than ~6 points to be genuinely cheaper. Footer read verbatim: 'VOIGTEX TOALHAS E VARIEDADES LTDA - CNPJ: 44.073.063/0001-43'. The trading name 'Dugu Atacadista' and its Facebook say Joinville; cnpj.ws confirms SC - a site-level 'atacadista' claim would have told you nothing about UF. NOTE: it is the ONLY candidate found that sells a pre-assembled 'kit enxoval 10 pecas', the BOM's one BLOCKING unpriced line."
puericultura_plasticos,Plasutil,PLASUTIL-INDUSTRIA E COMERCIO DE PLASTICOS LTDA,56450877000139,SP,Sao Paulo (matriz; parque industrial em Bauru/SP per the site),8211300 Servicos combinados de escritorio e apoio administrativo (matriz),Demais,https://www.plasutil.com.br/produtos/produto/013391-banheira-infantil-21-l-bichinhos,NO - 'Solicitar Orcamento' only,R$2.000 em mercadoria (B2B / CNPJ channel) - PUBLISHED,NONE PUBLISHED,YES - B2B CNPJ channel plus 'Venda para Lojista'; consumer sales split to lojaplasutil.com.br,banheira_lisa;saboneteira,https://www.plasutil.com.br/produtos/produto/013391-banheira-infantil-21-l-bichinhos,UNVERIFIED - quote only,2026-09-19,FALSE,"MANUFACTURER-DIRECT route for the banheira line. Banheira infantil 21 L is inside the 20-25 L band the cost_table flags as CAPACITY_BAND-sensitive. CAVEAT ON THE CNPJ: Plasutil does NOT publish its CNPJ on plasutil.com.br - the number came from a third-party company listing and was then resolved at publica.cnpj.ws, which returned razao social PLASUTIL-INDUSTRIA E COMERCIO DE PLASTICOS LTDA, Ativa, SP. Name match is the only link; if that matters, re-confirm from a nota fiscal. The matriz CNAE is an administrative one (8211300) - the factory is a filial not resolved here. R$2.000 minimum is ~15% of the entire upper capital band in config/capital.yaml."
puericultura_plasticos,ISSAM,ISSAM IMPORTACAO E EXPORTACAO LTDA,00327385000368,SP,"Sao Paulo (Av. Vautier 468, Pari)",4693100 Comercio atacadista de mercadorias em geral,Demais,https://b2b.issam.com.br/,NO - login-gated,NONE PUBLISHED,NONE PUBLISHED,"YES - B2B storefront, Entrar/Cadastrar required",saboneteira,,UNVERIFIED - login wall,2026-09-19,FALSE,"Footer read verbatim: 'Issam Importacao e Exportacao LTDA - Av. Vautier, 468 - Pari, Sao Paulo/ SP - CEP 03032-000 - CNPJ 00.327.385/0003-68'. Note the site publishes the 0003-68 establishment; cnpj.ws returns that record as tipo Matriz in Sao Paulo/SP. Carries PORTA SABONETE under Utilidades Domesticas and has BEBE and BELEZA & HIGIENE departments. Banheira infantil NOT found. Thin coverage - a saboneteira-only fallback."
higiene_perfumaria,MaxQualy (loja lojista),MAXQUALY - COMERCIO E LOGISTICA DE COSMETICOS LTDA,53748042000171,SP,Valinhos,4646001 Comercio atacadista de cosmeticos e produtos de perfumaria,Demais,https://lojista.maxqualy.com.br/,"YES - B2B lojista storefront, prices rendered without a login wall","R$300,00 - PUBLISHED ('pedido minimo R$ 300,00')",'Boleto 7 dias com 2% de desconto' - PUBLISHED DEFERRED PAYMENT,YES - dedicated lojista subdomain,shampoo_infantil;sabonete_liquido;oleo_infantil;kit_higiene_bebe (kits),https://lojista.maxqualy.com.br/,"UNVERIFIED - category pages not opened; homepage rendered perfumes, not the baby lines",2026-09-19,FALSE,"MOST IMPORTANT FIND FOR THE CREDIT-POLICY PROBLEM, not for price. It is the SECOND supplier anywhere in this repo with a PUBLISHED route to deferred payment, after Brascol - and unlike Brascol's boleto parcelado it is NOT CNAE-gated in what it publishes: 'Boleto 7 dias com 2% de desconto', minimum R$300. That directly touches risk #10 (every priced supplier is prepay). Cosmetics/perfumaria distributor (CNAE 4646001) - shampoo and infant kits, NOT fraldas. Site text calls itself 'Eireli'; cnpj.ws returns LTDA (post-2021 conversion). Baby-line prices were not individually read."
higiene_perfumaria,ABC Fraldas,GALPAO DAS FRALDAS LTDA,41666720000178,SP,Santo Andre,4646002 Comercio atacadista de produtos de higiene pessoal,Micro Empresa,https://abcfraldas.com.br/,"PARTIAL - storefront is Mercado Shops; prices live on the linked Mercado Livre listings, not on the storefront page",NONE PUBLISHED,NONE PUBLISHED,NONE PUBLISHED,fralda_descartavel_rn;toalhas_umedecidas,https://abcfraldas.com.br/,"UNVERIFIED - storefront showed 'Ver Oferta e Parcelamento' links, no R$ on page",2026-09-19,FALSE,"NAME MISMATCH WORTH RECORDING: the site footer states 'Abc Fraldas Ltda CNPJ 41.666.720/0001-78', but publica.cnpj.ws returns razao social GALPAO DAS FRALDAS LTDA for that number. The CNPJ is Ativa, SP/Santo Andre, CNAE 4646002 - so it is a real higiene-pessoal atacadista, just not trading under its registered name. Any habilitacao document will carry GALPAO DAS FRALDAS LTDA. Carries a Cherito prematuro 20-un diaper pack - relevant to the RN/prematuro size question the cost_table flags."
higiene_perfumaria,7Y Distribuidora,7Y DISTRIBUIDORA DE FRALDAS LTDA,07018219000167,SP,"Sao Paulo (R. Dr. Virgilio do Nascimento 96, Bras)",4646002 Comercio atacadista de produtos de higiene pessoal,Demais,https://7ydistribuidora.com.br/,NO - no prices and no quote form on the site,NONE PUBLISHED,NONE PUBLISHED,B2B distributor positioning; no self-service tier,fralda_descartavel_rn;toalhas_umedecidas,,UNVERIFIED - no prices published anywhere on the site,2026-09-19,FALSE,"Footer read verbatim: 'CNPJ 07.018.219/0001-67 - R. Dr. Virgilio do Nascimento, 96 - Bras/Sao Paulo - SP, 03027-020'. 22 years trading (aberta 2004). Carries fraldas RN and lencos umedecidos - a genuine structural second source to JN Fraldas on those two lines - but shampoo and sabonete liquido are NOT in its range, and nothing at all is priced publicly, so it cannot benchmark JN today."
kit_bag,Brindes SP,BRINDES SP CONFECCOES E COMERCIO DE BOLSAS E BRINDES LTDA,46033832000105,SP,Sao Paulo,4755502 Comercio varejista de artigos de armarinho,Micro Empresa,https://www.brindessp.com.br/mochilas-personalizadas/,NO - 'Peca ja um orcamento',50 unidades (mochila escolar / esportiva); 20 unidades (mochila termica) - PUBLISHED,NONE PUBLISHED,"Fabricacao propria + personalizacao; quote-based, not a storefront",mochila (personalised),https://www.brindessp.com.br/mochila-escolar-personalizada/,UNVERIFIED - quote only,2026-09-19,FALSE,"BEST STRUCTURAL FIT for the brasao/logo requirement and the only SP-verified one. Razao social confirms the activity: CONFECCOES E COMERCIO DE BOLSAS E BRINDES. Four personalisation methods published: sublimacao, silk-screen/serigrafia, bordado, transfer. Minimum 50 un is small enough for a 50-300 kit lot, which is exactly the niche docs/RISK_REGISTER.md #37 recommends. No price of any kind is published, so the mochila BOM line remains UNPRICED at a personalised spec. Micro empresa opened 2022 - young; no trading history read."
kit_bag,Coutre Bolsas Personalizadas,V M INDUSTRIA E COMERCIO LTDA,28165813000150,SC,Guaruja do Sul,"1521100 Fabricacao de artigos para viagem, bolsas e semelhantes",Micro Empresa,https://www.coutrebolsas.com.br/bolsa-maternidade-personalizada,UNVERIFIED - no prices rendered on the page read,UNVERIFIED,UNVERIFIED,Fabricacao propria; personalisation offered ('Personalize do Seu Jeito!'),mochila (personalised);kit_enxoval accessories,https://www.coutrebolsas.com.br/bolsa-maternidade-personalizada,UNVERIFIED,2026-09-19,FALSE,"NON-SP: SC/Guaruja do Sul - the ~6-point ICMS hurdle applies. CNPJ and razao social read from the page's own embedded store JSON ('Cnpj': '28.165.813/0001-50', 'RazaoSocial': 'V M Ind. e Com. Ltda'). CNAE 1521100 is the correct manufacturing code for bags - the only true bag FACTORY code among the four bag candidates. Whether it does corporate logo/brasao work, as opposed to baby-name embroidery, was NOT established."
kit_bag,Luna Baby Bolsas,SM BOLSAS E ACESSORIOS LTDA,48290986000108,SP,Ribeirao Preto,4782202 Comercio varejista de artigos de viagem,Micro Empresa,https://www.lunababybolsas.com.br/,YES,NONE PUBLISHED,PIX com desconto; ate 10x sem juros no cartao; frete gratis acima de R$1.000 Sul/Sudeste,NO wholesale tier visible - retail only,"mochila (personalised, but out of budget)",https://www.lunababybolsas.com.br/products/mochila-maternidade-bege-colecao-cerena,745.00,2026-09-19,FALSE,"PRICED OUT, recorded so the band is on the record: R$745 for a mochila maternidade, R$837 for a bolsa. That is 14x Emilio's R$52,27 mochila and more than four times the whole R$176-199 kit BOM. Personalisation is baby-name embroidery, not corporate marking. Conclusion this row supports: the consumer 'bolsa maternidade' market is the WRONG market for this BOM line - the wholesale sacola (Paulimar R$49,90) or the promotional/brindes route (Brindes SP) is the right one."
